,0,1,2,3,4
0,-25.915057157058172,-2.6565519528856316,-0.9136622491842673,-0.0005175773676702631,-0.5340991857887777
1,-12.5,-10.0,4.995,-95.0,-95.0
2,0.0,-13.441251465000002,5.0,-59.005,-135.5
3,-2.5,-14.0,0.0,-10.128463515,-94.505
4,-33.875,-9.505,-5.1352950150000005,-14.5,-57.8136321635
5,-12.5,0.0,0.0,-10.0,-139.145
6,-2.5,28.158250112015,5.005054485,0.0,-8.522915097034854
7,0.0,0.40897446177048224,0.0,-48.515,-5.0
8,-10.334314910995,3.3016999850000026,0.778298108596011,-18.5545,-53.587709015
9,-13.385783861495002,4.592733631402452,4.38882382539369,0.0,0.449901143505
10,-43.316949105503454,-11.11684191163648,-12.543600491103327,-200.93837422558045,-95.44159981574653
11,-43.39043202895954,-12.7408365283955,-6.26810876301751,-59.56631011914338,-66.12920354945658
12,-13.489445500000002,-4.279575242458352,-8.672756666133473,-90.91034645,-28.85602548550139
13,-48.027192963082776,-16.403548469871904,-25.896554682175683,-122.66075864435993,-99.08887095419018
14,-37.601723451773694,-8.301937057162668,-15.819121715928542,-117.42817573815886,-83.76233117530799
15,-43.57032099868881,-18.071306311462585,-16.49825179172363,-166.841100695941,-107.78596250808897
16,-47.100911199681825,-33.847172835988715,-24.12795666949936,-115.91294255803061,-69.98832178442746
17,-36.93213590753676,-33.26840102286683,-27.866096496812034,-78.03440787897361,-134.6101241021804
18,-83.39200205625868,-34.534285752550645,-35.78296641105142,-131.91266354794988,-75.41690589488687
19,-73.9871389774722,-36.40777963187654,-39.24663982077507,-177.56041479874185,-86.30963381122388
20,-83.1993443539155,-45.83728003656857,-51.40101456353527,-52.45239783495721,-174.24807857701418
21,-79.51470948337486,-45.17155652361824,-36.40681573794854,-161.70942991004463,-59.303670325123186
22,-63.231512499356604,-45.36198801179674,-49.473384545371246,-97.3989153683286,-132.71230307822336
23,-54.57910640444936,-52.778708602873685,-58.98103294541737,-195.87673849453188,-148.73414474236034
24,-91.46771523614154,-76.38814349208079,-72.8363619753772,-169.84348709069914,-158.46701971011538
25,-90.28027869581092,-87.89324084758245,-85.97090556768913,-219.7074410827406,-189.0457627187138
